,State,County,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating
471,KY,HARDIN,1,1,3.0
472,KY,HARLAN,1,1,1.0
473,KY,HARRISON,1,1,3.0
474,KY,HENDERSON,1,1,3.0
475,KY,HOPKINS,1,1,2.0
476,KY,JEFFERSON,4,4,1.75
477,KY,JOHNSON,1,1,4.0
478,KY,KENTON,1,1,4.0
479,KY,KNOX,2,1,2.0
480,KY,LAUREL,1,1,3.0
481,KY,LAWRENCE,1,1,4.0
482,KY,LETCHER,1,1,3.0
483,KY,LOGAN,1,1,4.0
484,KY,MADISON,2,1,3.0
485,KY,MARION,1,1,3.0
486,KY,MASON,1,1,4.0
487,KY,MCCRACKEN,2,2,2.5
488,KY,MONROE,1,1,4.0
489,KY,MONTGOMERY,1,1,3.0
490,KY,MUHLENBERG,1,1,3.0
491,KY,NELSON,1,1,3.0
492,KY,OLDHAM,1,1,4.0
493,KY,PERRY,1,1,2.0
494,KY,PIKE,2,2,1.5
495,KY,PULASKI,1,1,2.0
496,KY,ROCKCASTLE,1,1,4.0
497,KY,ROWAN,1,1,3.0
498,KY,SCOTT,1,1,4.0
499,KY,SHELBY,1,1,3.0
500,KY,TAYLOR,1,1,2.0
501,KY,WARREN,2,2,1.5
502,LA,ACADIA,2,1,2.0
503,LA,ALLEN,2,1,3.0
504,LA,ASCENSION,2,1,4.0
505,LA,AVOYELLES,2,1,3.0
506,LA,BEAUREGARD,1,1,4.0
507,LA,BOSSIER,1,1,4.0
508,LA,CADDO,6,3,3.3333333333333335
509,LA,CALCASIEU,5,4,3.25
510,LA,CALDWELL,2,2,4.0
511,LA,CLAIBORNE,1,1,4.0
512,LA,DE SOTO,1,1,3.0
513,LA,EAST BATON ROUGE,7,5,2.0
514,LA,EAST CARROLL,1,1,3.0
515,LA,EVANGELINE,2,2,4.5
516,LA,FRANKLIN,1,1,3.0
517,LA,IBERIA,1,1,2.0
518,LA,JEFFERSON,5,4,3.0
519,LA,JEFFERSON DAVIS,1,1,3.0
520,LA,LA SALLE,2,1,4.0
521,LA,LAFAYETTE,8,6,3.6666666666666665
522,LA,LAFOURCHE,3,1,3.0
523,LA,LINCOLN,1,1,1.0
524,LA,MOREHOUSE,1,1,3.0
525,LA,NATCHITOCHES,1,1,4.0
526,LA,ORLEANS,6,3,2.3333333333333335
527,LA,OUACHITA,5,3,3.0
528,LA,RAPIDES,3,3,3.3333333333333335
529,LA,RICHLAND,2,1,2.0
530,LA,SABINE,1,1,2.0
531,LA,SAINT BERNARD,1,1,2.0
532,LA,SAINT CHARLES,1,1,4.0
533,LA,SAINT LANDRY,1,1,3.0
534,LA,SAINT MARY,2,1,2.0
535,LA,SAINT TAMMANY,6,3,3.3333333333333335
536,LA,TANGIPAHOA,4,1,3.0
537,LA,TERREBONNE,3,2,4.0
538,LA,VERMILION,2,1,3.0
539,LA,VERNON,2,1,2.0
540,LA,WASHINGTON,2,1,3.0
541,LA,WEBSTER,2,2,3.5
542,LA,WEST CARROLL,1,1,3.0
543,LA,WINN,1,1,3.0
544,MA,BARNSTABLE,2,2,4.5
545,MA,BERKSHIRE,2,1,3.0
546,MA,BRISTOL,4,4,2.5
547,MA,ESSEX,5,5,3.8
548,MA,FRANKLIN,1,1,3.0
549,MA,HAMPDEN,6,5,3.6
550,MA,HAMPSHIRE,1,1,3.0
551,MA,MIDDLESEX,11,11,3.3636363636363638
552,MA,NANTUCKET,1,1,4.0
553,MA,NORFOLK,4,4,3.0
554,MA,PLYMOUTH,3,3,2.6666666666666665
555,MA,SUFFOLK,13,9,3.6666666666666665
556,MA,WORCESTER,9,6,2.8333333333333335
557,MD,ALLEGANY,1,1,2.0
558,MD,ANNE ARUNDEL,2,2,2.5
559,MD,BALTIMORE,5,4,4.0
560,MD,BALTIMORE CITY,14,11,2.727272727272727
561,MD,CALVERT,1,1,4.0
562,MD,CARROLL,1,1,3.0
563,MD,CECIL,1,1,3.0
564,MD,CHARLES,1,1,3.0
565,MD,FREDERICK,1,1,5.0
566,MD,GARRETT,1,1,4.0
567,MD,HARFORD,2,2,2.5
568,MD,HOWARD,1,1,3.0
569,MD,KENT,1,1,2.0
570,MD,MONTGOMERY,6,6,3.1666666666666665
571,MD,PRINCE GEORGES,5,5,1.8
572,MD,SAINT MARYS,1,1,3.0
573,MD,SOMERSET,1,1,3.0
574,MD,TALBOT,1,1,3.0
575,MD,WASHINGTON,1,1,4.0
576,MD,WICOMICO,1,1,5.0
577,MD,WORCESTER,1,1,3.0
578,ME,ANDROSCOGGIN,2,2,3.0
579,ME,AROOSTOOK,4,3,4.0
580,ME,CUMBERLAND,4,3,4.333333333333333
581,ME,FRANKLIN,1,1,3.0
582,ME,HANCOCK,3,1,5.0
583,ME,KENNEBEC,2,2,4.0
584,ME,KNOX,1,1,3.0
585,ME,PENOBSCOT,4,2,2.5
586,ME,YORK,2,2,3.0
587,MI,ALPENA,1,1,4.0
588,MI,BARRY,1,1,2.0
589,MI,BAY,1,1,3.0
590,MI,BERRIEN,2,2,4.0
591,MI,BRANCH,1,1,3.0
592,MI,CALHOUN,2,2,4.5
593,MI,CHIPPEWA,1,1,4.0
594,MI,CLARE,1,1,4.0
595,MI,CRAWFORD,1,1,4.0
596,MI,DICKINSON,1,1,4.0
597,MI,EMMET,1,1,5.0
598,MI,GENESEE,3,3,1.3333333333333333
599,MI,GRAND TRAVERSE,1,1,4.0
600,MI,GRATIOT,1,1,5.0
601,MI,HILLSDALE,1,1,3.0
602,MI,HOUGHTON,2,1,3.0
603,MI,HURON,3,1,4.0
604,MI,INGHAM,2,2,3.0
605,MI,IOSCO,1,1,4.0
606,MI,ISABELLA,1,1,3.0
607,MI,JACKSON,1,1,4.0
608,MI,KALAMAZOO,2,2,4.5
609,MI,KENT,3,3,4.0
610,MI,LAPEER,1,1,2.0
611,MI,LENAWEE,2,1,4.0
612,MI,LIVINGSTON,2,1,4.0
613,MI,MACOMB,4,3,2.0
614,MI,MANISTEE,1,1,4.0
615,MI,MARQUETTE,2,1,3.0
616,MI,MASON,1,1,4.0
617,MI,MECOSTA,1,1,4.0
618,MI,MIDLAND,1,1,3.0
619,MI,MONROE,1,1,2.0
620,MI,MONTCALM,4,2,4.5
621,MI,MUSKEGON,1,1,4.0
622,MI,OAKLAND,12,9,3.0
623,MI,OGEMAW,1,1,3.0
624,MI,OTSEGO,1,1,4.0
625,MI,OTTAWA,3,3,4.666666666666667
626,MI,SAGINAW,3,2,1.5
627,MI,SAINT CLAIR,3,3,3.3333333333333335
628,MI,SAINT JOSEPH,2,2,3.0
629,MI,SHIAWASSEE,1,1,2.0
630,MI,VAN BUREN,2,1,4.0
631,MI,WASHTENAW,4,3,4.0
632,MI,WAYNE,15,14,2.642857142857143
633,MI,WEXFORD,1,1,5.0
634,MN,ANOKA,1,1,4.0
635,MN,BECKER,1,1,4.0
636,MN,BELTRAMI,2,1,3.0
637,MN,BLUE EARTH,1,1,4.0
638,MN,CARVER,1,1,3.0
639,MN,CHISAGO,1,1,4.0
640,MN,CROW WING,2,1,4.0
641,MN,DAKOTA,3,3,4.0
642,MN,DOUGLAS,1,1,5.0
643,MN,FREEBORN,1,1,5.0
644,MN,GOODHUE,2,1,4.0
645,MN,HENNEPIN,10,7,3.4285714285714284
646,MN,ISANTI,1,1,4.0
647,MN,ITASCA,3,1,4.0
648,MN,KANDIYOHI,1,1,4.0
649,MN,MARTIN,1,1,3.0
650,MN,MCLEOD,2,1,4.0
651,MN,NOBLES,1,1,4.0
652,MN,OLMSTED,2,2,4.5
653,MN,OTTER TAIL,2,1,4.0
654,MN,RAMSEY,5,4,3.25
655,MN,RICE,1,1,4.0
656,MN,SAINT LOUIS,8,5,3.6
657,MN,SCOTT,2,1,3.0
658,MN,SHERBURNE,1,1,4.0
659,MN,STEARNS,4,1,5.0
660,MN,STEELE,1,1,4.0
661,MN,WASHINGTON,2,2,4.5
662,MN,WINONA,1,1,4.0
663,MN,WRIGHT,2,1,4.0
664,MO,ADAIR,1,1,3.0
665,MO,AUDRAIN,1,1,4.0
666,MO,BATES,1,1,3.0
667,MO,BOONE,2,2,4.0
668,MO,BUCHANAN,1,1,5.0
669,MO,BUTLER,2,2,2.0
670,MO,CALLAWAY,1,1,3.0
671,MO,CAMDEN,1,1,3.0
672,MO,CAPE GIRARDEAU,2,2,2.5
673,MO,CASS,2,1,4.0
674,MO,CLAY,3,2,3.0
675,MO,CLINTON,1,1,2.0
676,MO,COLE,2,2,4.0
677,MO,COOPER,1,1,3.0
678,MO,DUNKLIN,1,1,3.0
